x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0.101557362,9.899124496,1.642984143,1.107954797,0.726784595,4.595870502,0.313609634,8.137743575,0.101485603,26.09467023,0.100163714,150.7610608,1.397699695,976.4827519,3.836123827,96.83519056,3.851949234,1.935396712,0.532797566,348.8940688
0.118529241,9.969241775,1.795943773,1.148791532,0.817808927,4.926872272,0.357297402,8.670592198,0.111163664,26.16630184,0.107319569,151.1092825,1.44901815,871.6157286,4.080733704,86.42849268,0.850849098,26.51477063,1.428112304,32.98570484
0.139051838,9.888908962,1.983569283,1.209339469,0.933665615,5.329858727,0.410455937,9.266211771,0.123798024,26.47712347,0.116383632,152.995126,1.533494867,749.0775531,4.385894346,79.50774706,0.259372684,202.8399393,4.466324737,2.108286661
0.164817088,9.588757041,2.222774459,1.280783089,1.046259437,5.766159876,0.478405991,9.99301539,0.137868348,26.873224,0.126431155,156.4816121,1.631277944,629.3084228,4.738219902,74.25511012,,,,
0.19839885,9.227165856,2.521957427,1.389790566,1.179735306,6.219110616,0.559918461,10.97508997,0.155778965,27.44031547,0.139014721,160.0411985,1.762320979,520.7227013,5.225415214,68.30336506,,,,
0.245053971,8.811537907,2.849587482,1.508096189,1.338526365,6.893593659,0.645891516,11.83633355,0.180070538,28.44647912,0.152587257,164.097956,1.884376959,440.7799107,5.943595114,63.29940375,,,,
0.313793754,8.040229023,3.266778001,1.671597337,1.524991395,7.687731496,0.783017904,13.39934856,0.20988081,29.22096615,0.166046481,169.1171769,2.08886568,348.5080229,6.725746467,60.46554506,,,,
0.362480056,7.621869313,3.768377615,1.881169916,1.733839135,8.547383088,0.949256992,15.44803628,0.23862401,30.29407005,0.181630478,174.2869555,2.280036684,284.033329,7.455610675,58.20115449,,,,
0.405976709,7.117491226,4.284457346,2.130031834,1.942928526,9.474761644,1.182180065,18.41408604,0.272429201,31.50179412,0.198677083,179.6147701,2.475916636,231.4905029,8.264678249,56.44703019,,,,
0.48618426,6.350115085,4.75169517,2.382854597,2.150356758,10.66408827,1.427242055,21.68649153,0.315563352,32.85585633,0.2176988,186.9900398,2.633793099,198.9424912,9.208858855,56.42696969,,,,
0.58826762,5.622580464,5.161914074,2.617673195,2.414668944,12.14900081,1.663518756,25.08161749,0.370862437,34.79142382,0.235272191,193.2027489,2.965075758,154.926156,9.948620476,55.9874378,,,,
0.719156262,4.615474468,5.701188619,2.973276999,2.711469196,13.92510332,1.922921476,29.36403083,0.432257877,37.17962318,0.256024784,199.1121904,3.269952071,129.158853,,,,,,
0.826467825,3.965522902,6.468562263,3.513044436,3.044750801,16.25471645,2.181744566,34.37972433,0.50173555,39.97465362,0.279570823,208.8721299,3.569214979,108.4986129,,,,,,
0.959627993,3.305417994,7.129570148,4.051437388,3.447426785,19.44073567,2.434746872,39.6469838,0.586008609,44.17130518,0.302138734,217.4586147,3.836123827,96.83519056,,,,,,
1.167116191,2.459224018,7.793323608,4.700969919,3.831306136,23.11168153,2.762461091,47.85221548,0.703106048,49.70275441,0.331066065,228.11526,4.018156481,110.1100237,,,,,,
1.32752438,1.886291648,8.48367385,5.504695172,4.196674382,27.06253556,3.10843867,59.17931104,0.861247989,58.17787727,0.358408616,241.7413923,4.187202237,135.0475031,,,,,,
1.525615843,1.372156965,9.292709967,6.544444711,4.549549742,31.78635377,3.36981025,70.14612527,1.085981377,69.98074903,0.386006464,254.2458018,4.340941095,170.7249899,,,,,,
1.673838861,0.990784115,9.929151603,7.734045917,4.973106748,38.36946858,3.563525994,80.17273608,1.380742696,88.6413348,0.422963449,271.477932,4.47720223,220.7865411,,,,,,
,,,,5.313706229,45.34398943,3.831306136,96.78218219,1.639586437,110.2727916,0.467473678,292.8226665,4.617740571,307.9688585,,,,,,
,,,,5.701188619,55.40812546,,,1.875741081,135.12977,0.52294495,325.5838053,4.689655487,416.792198,,,,,,
,,,,5.929901152,63.71785469,,,2.06741886,160.6503602,0.597235114,369.3982284,4.738219902,564.0787107,,,,,,
,,,,,,,,2.264575959,192.1596804,0.679729736,437.5614779,4.762690378,763.4264249,,,,,,
,,,,,,,,2.470285796,231.2542781,0.769625711,524.9197284,4.762690378,965.2263776,,,,,,
,,,,,,,,,,0.853556583,617.1245172,,,,,,,,
,,,,,,,,,,0.938510212,747.9459109,,,,,,,,
,,,,,,,,,,1.009034293,906.5663346,,,,,,,,
,,,,,,,,,,1.035485719,970.6760404,,,,,,,,
